Term x Tenor	-200bps	-100bps	-50bps	-25bps	ATM	25bps	50bps	100bps	200bps
6Mo X 1Yr	188.65	155.94	138.83	130.36	122.24	114.90	108.98	103.90	116.42
6Mo X 5Yr	153.74	139.04	134.42	133.30	133.14	134.00	135.87	142.22	161.53
6Mo X 10Yr	134.08	123.08	122.04	123.19	125.51	128.90	133.19	143.71	168.66
6Mo X 20Yr	123.79	113.39	112.47	113.62	115.90	119.19	123.33	133.42	157.13
1Yr X 1Yr	172.99	155.68	147.64	144.00	140.74	137.99	135.84	133.74	138.46
1Yr X 5Yr	145.75	136.57	134.12	133.69	133.87	134.67	136.10	140.67	154.79
1Yr X 10Yr	122.75	119.01	119.95	121.26	123.14	125.54	128.41	135.28	151.94
1Yr X 20Yr	113.82	108.87	109.51	110.81	112.77	115.32	118.40	125.77	143.38
5Yr X 1Yr	116.90	117.70	119.45	120.68	122.15	123.85	125.75	130.12	140.56
5Yr X 5Yr	107.07	108.40	110.40	111.75	113.32	115.09	117.05	121.48	131.83
5Yr X 10Yr	97.83	99.65	102.06	103.63	105.44	107.45	109.66	114.53	125.60
5Yr X 20Yr	91.49	91.91	93.48	94.64	96.02	97.63	99.43	103.55	113.26
10Yr X 1Yr	93.55	93.93	95.14	96.02	97.09	98.32	99.72	102.95	110.80
10Yr X 5Yr	86.59	87.25	88.69	89.71	90.91	92.30	93.84	97.36	105.69
10Yr X 10Yr	79.03	80.64	82.76	84.14	85.72	87.47	89.38	93.58	103.05
10Yr X 20Yr	73.81	74.30	75.80	76.88	78.16	79.64	81.29	85.02	93.67
